,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
3233,Rae Sremmurd,Swang,208120,1,2016,75,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,pop
3234,Lil Peep,Save That Shit,231546,1,2017,77,0.534,0.583,2,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,105.997,hip hop
3235,A$AP Ferg,Plain Jane,173600,1,2017,74,0.797,0.844,11,-5.482,1,0.275,0.0651,0.0,0.087,0.52,170.142,hip hop
3236,A$AP Ferg,Plain Jane,173600,1,2017,74,0.797,0.844,11,-5.482,1,0.275,0.0651,0.0,0.087,0.52,170.142,pop
3237,French Montana,Unforgettable,233901,1,2017,82,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,hip hop
3238,French Montana,Unforgettable,233901,1,2017,82,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,pop
3239,21 Savage,Bank Account,220306,1,2017,74,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,hip hop
3240,Axwell /\ Ingrosso,More Than You Know,203000,0,2017,0,0.645,0.741,5,-4.989,0,0.0339,0.0323,0.0,0.29,0.534,123.07,pop
3241,Axwell /\ Ingrosso,More Than You Know,203000,0,2017,0,0.645,0.741,5,-4.989,0,0.0339,0.0323,0.0,0.29,0.534,123.07,Dance/Electronic
3242,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000,0,2017,77,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,pop
3243,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000,0,2017,77,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,Dance/Electronic
3244,J Balvin,Mi Gente,189029,0,2017,53,0.548,0.701,11,-4.862,0,0.0914,0.0178,1.34e-05,0.134,0.309,104.237,latin
3245,Jax Jones,You Don't Know Me - Radio Edit,213946,1,2016,1,0.876,0.669,11,-6.054,0,0.138,0.163,0.0,0.185,0.682,124.007,hip hop
3246,Jax Jones,You Don't Know Me - Radio Edit,213946,1,2016,1,0.876,0.669,11,-6.054,0,0.138,0.163,0.0,0.185,0.682,124.007,pop
3247,Jax Jones,You Don't Know Me - Radio Edit,213946,1,2016,1,0.876,0.669,11,-6.054,0,0.138,0.163,0.0,0.185,0.682,124.007,Dance/Electronic
3248,Rae Sremmurd,Black Beatles,291893,1,2016,75,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,hip hop
3249,Rae Sremmurd,Black Beatles,291893,1,2016,75,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,pop
3250,Zara Larsson,Ain't My Fault,224030,0,2017,67,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,pop
3251,Zara Larsson,Ain't My Fault,224030,0,2017,67,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,Dance/Electronic
3252,Travis Scott,BUTTERFLY EFFECT,190677,0,2017,0,0.763,0.598,11,-6.865,1,0.0539,0.0714,0.0,0.112,0.182,140.987,hip hop
3253,Travis Scott,BUTTERFLY EFFECT,190677,0,2017,0,0.763,0.598,11,-6.865,1,0.0539,0.0714,0.0,0.112,0.182,140.987,Dance/Electronic
3254,Ayo & Teo,Rolex,238586,0,2017,69,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,hip hop
3255,Ayo & Teo,Rolex,238586,0,2017,69,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,pop
3256,Lil Uzi Vert,XO Tour Llif3,182706,1,2017,81,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,hip hop
3257,Imagine Dragons,Whatever It Takes,201240,0,2017,80,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,rock
3258,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),177184,1,2016,76,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,hip hop
3259,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),216408,1,2017,75,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,hip hop
3260,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),216408,1,2017,75,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,pop
3261,G-Eazy,No Limit,245386,1,2017,0,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,hip hop
3262,G-Eazy,No Limit,245386,1,2017,0,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,pop
3263,Playboi Carti,Magnolia,181812,1,2017,77,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,hip hop
3264,Chord Overstreet,Hold On,198853,0,2017,80,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,pop
